#512 values of F as pairs x,F(x)
0,115372479467852169402923178669701238120968529096731003705279656079766959265454
1,68900237311729228149003905749613707538762386890287666747247564415239116591682
2,112249901664081544482601822769592860977618494694505246425607692191456807908696
3,31454124235773225484522307932014492649819401895293980940742513962817822776429
4,42919591623122174803872665087275784978179557945150029037177474369953297695639
5,76247170168507372141168392201370355616171893517998994234942162632080866397052
6,100111585928974427956739847471346917923363624607587433515853954584959974984546
7,75614793158979691524773405900743178741611637529860046976311576585890495858201
8,62448221346747833251278800544613407839607947549978500485737680004876862854088
9,58128637678304260025454931590297158672628528553222157339555732384051449043300
10,3283589526226528533554914740778724502227244096299138796992484929706109433868
11,13276479141121072724240322823979170447795896368455941401770456925109873116833
12,78747730589054430560726887200353966655366560913130814975656024478123810779888
13,73320444000143794083227201611947580416682003326381515462769193879921782512699
14,4783412324735367993802952196113695251218963535070114643101075407086506263091
15,85671292772111283516633653824411761803547217137039053061554747086812853179285
16,43355503038629873253560290581542825955777178624861661535749487448865381581637
17,7262510094929528064858219341648268937266748748617969344659370921505908378583
18,68518643642228234995928522023487568499217815394650009419562337008564441355348
19,43784601924035294865928016817972903087625405432658383494625728275375910666973
20,44339128434790138163224131109197294857550862660149001693565724403244890869651
21,6436099264721922729022968028130226001566476925236499416366264532370322777621
22,65422620764385854979700921836321991241982320027651912498815498674759128193985
23,3924346848148860488788867270729264028869988534551900242392634591476567601436
24,65816331276735196225741813315098300951301324513720275067949660064447172749095
25,23462083399093286798791008053071810280947314244861059804700680348486945681200
26,91605184422518279960548407856832605871552018312735828519421687162012918874604
27,27244513414698644038559869170899322759302527762261429225750090376617822960583
28,36508614630487602371030788992271183219351467031435413449355992410359535717313
29,72649684573532143566864819298941891766215086040521975394562282498032703513595
30,74655162304002120775298485638494169957812239842796108813805280565686836376073
31,29440058465477210646241829044509364431350272342857102126950694540029634900256
32,98720942490680429466302613007495822764673477828089830795837374283656531509782
33,26267706258269072019725644863012313876277841894542619495477302842971824744816
34,61111898198494620678878013349781766081092351129338378495483196331289270347682
35,109662845919183554895999143890359099802449679625054929590517710131763054070915
36,114766480304378372923919842405687576362700420314579381322678008883091890052619
37,85038060632147730173754858932589723975356138757951474227682334969833709388199
38,108148683185503409751823333845552325822887471972940015183849295350217195937307
39,31790595686831231414530612257245870828014743665718303563145907960207333598807
40,104966413644377482642196550784807043577621010204457182346051577159497744814470
41,44101233748315554949659052072613739844217183630224412246316263421536490912150
42,42827999625774757327155791663211310929061799214194267369236915553059892989652
43,82711499303143368219707579061495305205503313918032092085478726496906191360332
44,8754920110021926928077836112306868130519430956295706872916689530949671412869
45,30099370127541694748199878470167177303632578004098652883825211271800549571300
46,22893608602443110256786484639966806484994764960281639492007507697064137434341
47,82646848945079912490394634917758439367198744592879798768803556690416648300885
